 267547,1353年7月2日 12ʰ0ᵐ0ˢ,-1
 270825,1362年6月23日 12ʰ0ᵐ0ˢ,-1
 272361,1366年9月6日 12ʰ0ᵐ0ˢ,-1
 274103,1371年6月14日 12ʰ0ᵐ0ˢ,-1
 274487,1372年7月2日 12ʰ0ᵐ0ˢ,-1
 274871,1373年7月21日 12ʰ0ᵐ0ˢ,-1
 277558,1380年11月28日 12ʰ0ᵐ0ˢ,-1
 277853,1381年9月19日 12ʰ0ᵐ0ˢ,-1
 278149,1382年7月12日 12ʰ0ᵐ0ˢ,-1
 280452,1388年10月31日 12ʰ0ᵐ0ˢ,-1
 282106,1393年5月12日 12ʰ0ᵐ0ˢ,-1
 283641,1397年7月25日 12ʰ0ᵐ0ˢ,-1
 288632,1411年3月25日 12ʰ0ᵐ0ˢ,-1
 289813,1414年6月18日 12ʰ0ᵐ0ˢ,-1
 292117,1420年10月8日 12ʰ0ᵐ0ˢ,-1
 292412,1421年7月30日 12ʰ0ᵐ0ˢ,-1
 300119,1442年9月5日 12ʰ0ᵐ0ˢ,-1
 302748,1449年11月16日 12ʰ0ᵐ0ˢ,-1
 305996,1458年10月8日 12ʰ0ᵐ0ˢ,-1
 309185,1467年7月2日 12ʰ0ᵐ0ˢ,-1
 312257,1475年11月29日 12ʰ0ᵐ0ˢ,-1
 313822,1480年3月12日 12ʰ0ᵐ0ˢ,-1
 314176,1481年3月1日 12ʰ0ᵐ0ˢ,-1
 315416,1484年7月23日 12ʰ0ᵐ0ˢ,-1
 317602,1490年7月18日 12ʰ0ᵐ0ˢ,-1
 319432,1495年7月22日 12ʰ0ᵐ0ˢ,-1
 319875,1496年10月7日 12ʰ0ᵐ0ˢ,-1
 321588,1501年6月16日 12ʰ0ᵐ0ˢ,-1
 326106,1513年10月29日 12ʰ0ᵐ0ˢ,-1
 329000,1521年10月1日 12ʰ0ᵐ0ˢ,-1
 330743,1526年7月10日 12ʰ0ᵐ0ˢ,-1
 331097,1527年6月29日 12ʰ0ᵐ0ˢ,-1
 334080,1535年8月29日 12ʰ0ᵐ0ˢ,-1
 337269,1544年5月22日 12ʰ0ᵐ0ˢ,-1
 338066,1546年7月28日 12ʰ0ᵐ0ˢ,-1
 347221,1571年8月21日 12ʰ0ᵐ0ˢ,-1
 347575,1572年8月9日 12ʰ0ᵐ0ˢ,-1
 351207,1582年7月20日 12ʰ0ᵐ0ˢ,-1
 353274,1588年3月27日 12ʰ0ᵐ0ˢ,-1
 353304,1588年4月26日 12ʰ0ᵐ0ˢ,-1
 354544,1591年9月18日 12ʰ0ᵐ0ˢ,-1
 357616,1600年2月15日 12ʰ0ᵐ0ˢ,-1
 363551,1616年5月16日 12ʰ0ᵐ0ˢ,-1
 365796,1622年7月9日 12ʰ0ᵐ0ˢ,-1
 367685,1627年9月10日 12ʰ0ᵐ0ˢ,-1
 370225,1634年8月24日 12ʰ0ᵐ0ˢ,-1
 375600,1649年5月12日 12ʰ0ᵐ0ˢ,-1
 380266,1662年2月19日 12ʰ0ᵐ0ˢ,-1
 388652,1685年2月4日 12ʰ0ᵐ0ˢ,-1
 389420,1687年3月14日 12ʰ0ᵐ0ˢ,-1
 392078,1694年6月23日 12ʰ0ᵐ0ˢ,-1
